login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
nicknochnack,nicknochnack/ActionDetectionforSignLanguage,2021-06-16T09:12:01Z,407,407,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/AdvancedHandPoseWithMediaPipe,2021-04-25T00:13:57Z,37,37,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/ANPRwithPython,2020-12-13T04:39:49Z,106,106,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/AutoStreamlit,2022-10-25T21:25:41Z,72,72,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/beeagent,2024-09-19T08:05:08Z,8,8,TypeScript,True,True,
nicknochnack,nicknochnack/BERTSentiment,2021-05-27T00:46:57Z,62,62,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/BinanceEDA,2021-06-10T01:10:15Z,39,39,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/Blenderbot,2021-10-16T23:24:49Z,5,5,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/Body-Language-Decoder,2021-04-19T00:54:25Z,100,100,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/BodyPixBackgroundRemoval,2021-05-13T00:06:34Z,25,25,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/BudgetBot,2020-09-17T13:05:01Z,1,1,,True,True,
nicknochnack,nicknochnack/CFN2.0,2024-07-26T00:55:29Z,4,4,JavaScript,True,True,
nicknochnack,nicknochnack/ChatGPTAPI,2023-03-07T03:36:29Z,59,59,Python,True,True,
nicknochnack,nicknochnack/ChatGPTWatson,2023-03-09T04:31:09Z,8,8,,True,True,
nicknochnack,nicknochnack/Cloud-Pak-For-Data-Data-to-Deployment,2021-01-15T00:35:19Z,5,5,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/CNNLayers,2022-05-29T02:30:51Z,17,17,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/Code-That-ReactStableDiffusion,2022-11-04T10:42:52Z,96,96,JavaScript,True,True,
nicknochnack,nicknochnack/CodeThat-FastML,2022-08-11T23:39:21Z,16,16,Python,True,True,
nicknochnack,nicknochnack/CodeTHat-MiDaS,2023-01-06T00:56:24Z,17,17,Python,True,True,
